Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BMCH,"BMC Stock Holdings, Inc.",21.6,$1.44B,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bmch
BOBE,"Bob Evans Farms, Inc.",70.59,$1.41B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bobe
BOFI,"BofI Holding, Inc.",24.01,$1.52B,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi
BOFIL,"BofI Holding, Inc.",25.5827,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofil
WIFI,"Boingo Wireless, Inc.",14.93,$582.04M,2011,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wifi
BOJA,"Bojangles&#39;, Inc.",15.95,$583.71M,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/boja
BOKF,BOK Financial Corporation,85,$5.56B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
BOKFL,BOK Financial Corporation,25.62,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokfl
BNSO,"Bonso Electronics International, Inc.",2.51,$12.94M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bnso
BOMN,Boston Omaha Corporation,13.19,$90.98M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/bomn
BPFH,"Boston Private Financial Holdings, Inc.",15.6,$1.31B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh
BPFHP,"Boston Private Financial Holdings, Inc.",25.99,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfhp
BPFHW,"Boston Private Financial Holdings, Inc.",10.24,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfhw
EPAY,"Bottomline Technologies, Inc.",25.78,$1.04B,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BLVD,Boulevard Acquisition Corp. II,10.0218,$463.51M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvd
BLVDU,Boulevard Acquisition Corp. II,10.3899,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvdu
BLVDW,Boulevard Acquisition Corp. II,0.75,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvdw
BCLI,Brainstorm Cell Therapeutics Inc.,4.5,$84.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcli
BBRG,"Bravo Brio Restaurant Group, Inc.",4.4,$66.7M,2010,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bbrg
BDGE,"Bridge Bancorp, Inc.",33.9,$667.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge
BLIN          ,"Bridgeline Digital, Inc.",0.555,$11.64M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BRID,Bridgford Foods Corporation,13.11,$119M,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/brid
BCOV,Brightcove Inc.,6.3,$215.21M,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
AVGO,Broadcom Limited,239.62,$97.43B,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
BSFT,"BroadSoft, Inc.",42.15,$1.29B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",4.15,$20.61M,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BYFC,Broadway Financial Corporation,2.15,$59.02M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/byfc
BWEN,"Broadwind Energy, Inc.",4.54,$68.02M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/bwen
BRCD,"Brocade Communications Systems, Inc.",12.69,$5.2B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/brcd
BRKL,"Brookline Bancorp, Inc.",14.85,$1.14B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl
BRKS,"Brooks Automation, Inc.",23.2,$1.62B,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
BRKR,Bruker Corporation,29.49,$4.72B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/brkr
BMTC,Bryn Mawr Bank Corporation,42.9,$728.77M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmtc
BLMT,"BSB Bancorp, Inc.",29.25,$283.39M,2011,Finance,Major Banks,http://www.nasdaq.com/symbol/blmt
BSQR,BSQUARE Corporation,5.6,$70.39M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/bsqr
BWLD,"Buffalo Wild Wings, Inc.",124.25,$2.01B,2003,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bwld
BLDR,"Builders FirstSource, Inc.",15.59,$1.75B,2005,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bldr
BMLA,BullMark LatAm Select Leaders ETF,31.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bmla
BUR,Burcon NutraScience Corp,1.04,$39.34M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bur
CFFI,C&F Financial Corporation,48.8,$170.17M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cffi
CHRW,"C.H. Robinson Worldwide, Inc.",67.97,$9.58B,1997,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw
CA,CA Inc.,34.34,$14.46B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,75.04,$1.9B,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp
CDNS,"Cadence Design Systems, Inc.",33.67,$9.41B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CDZI,"Cadiz, Inc.",12.6,$280.45M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cdzi
CACQ,Caesars Acquisition Company,19.15,$2.66B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cacq
CZR,Caesars Entertainment Corporation,12.1,$1.8B,2012,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/czr
CSTE,Caesarstone Ltd.,34.75,$1.19B,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cste
PRSS,CafePress Inc.,2.42,$40.38M,2012,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/prss
CLBS,"Caladrius Biosciences, Inc.",4.32,$38.62M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/clbs
CHY,Calamos Convertible and High Income Fund,11.8,$855.94M,2003,n/a,n/a,http://www.nasdaq.com/symbol/chy
CHI,Calamos Convertible Opportunities and Income Fund,11.2,$784.26M,2002,n/a,n/a,http://www.nasdaq.com/symbol/chi
CCD,Calamos Dynamic Convertible & Income Fund,20.06,$489.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ccd
CHW,Calamos Global Dynamic Income Fund,8.48,$500.38M,2007,n/a,n/a,http://www.nasdaq.com/symbol/chw
CGO,Calamos Global Total Return Fund,13.22,$111.91M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cgo
CSQ,Calamos Strategic Total Return Fund,11.73,$1.81B,2004,n/a,n/a,http://www.nasdaq.com/symbol/csq
CAMP,CalAmp Corp.,19.62,$694.48M,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
CVGW,"Calavo Growers, Inc.",67.7,$1.19B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cvgw
CFNB,California First National Bancorp,17.2,$176.81M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnb
CALA,"Calithera Biosciences, Inc.",17.9,$631.77M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cala
CALD,"Callidus Software, Inc.",23.25,$1.51B,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/cald
CALM,"Cal-Maine Foods, Inc.",38.45,$1.87B,1996,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/calm
CLMT,"Calumet Specialty Products Partners, L.P.",4.05,$310.6M,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/clmt
ABCD,"Cambium Learning Group, Inc.",5.16,$238.45M,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd
CAC,Camden National Corporation,44.4,$688.76M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cac
CAMT,Camtek Ltd.,5.1,$180.28M,2000,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/camt
CSIQ,Canadian Solar Inc.,15.56,$899.88M,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq
CGIX,"Cancer Genetics, Inc.",4,$79.05M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cgix
CPHC,Canterbury Park Holding Corporation,10.98,$48M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/cphc
CPLA,Capella Education Company,85.05,$985.63M,2006,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cpla
CBF,Capital Bank Financial Corp.,38.4,$2B,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf
CCBG,Capital City Bank Group,21.23,$359.93M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccbg
CPLP,Capital Product Partners L.P.,3.74,$461.12M,2007,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cplp
CSWC,Capital Southwest Corporation,16.24,$259.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cswc
CPTA,Capitala Finance Corp.,13.22,$210.05M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cpta
CPTAG,Capitala Finance Corp.,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cptag
CPTAL,Capitala Finance Corp.,25.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cptal
CFFN,"Capitol Federal Financial, Inc.",14.2,$1.96B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn
CAPR,"Capricor Therapeutics, Inc.",0.67,$15.14M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/capr
CSTR,"CapStar Financial Holdings, Inc.",18.15,$203.71M,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/cstr
CPST,Capstone Turbine Corporation,0.7,$29.07M,2000,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst
CARA,"Cara Therapeutics, Inc.",13.62,$442.75M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara
CARB,"Carbonite, Inc.",21.75,$597.96M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CRME,Cardiome Pharma Corporation,4.5,$143.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crme
CSII,"Cardiovascular Systems, Inc.",32.51,$1.06B,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii
CATM,Cardtronics plc,32.67,$1.49B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/catm
CDNA,"CareDx, Inc.",1.25,$26.78M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cdna
CECO,Career Education Corporation,9.42,$650.25M,1998,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceco
CTRE,"CareTrust REIT, Inc.",18.24,$1.32B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctre
CARO,Carolina Financial Corporation,33.23,$538.15M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caro
CART,"Carolina Trust BancShares, Inc.",7.59,$35.33M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cart
CRZO,"Carrizo Oil & Gas, Inc.",15.31,$1.01B,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo
TAST,"Carrols Restaurant Group, Inc.",12.2,$441.67M,2006,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tast
CRTN,"Cartesian, Inc.",0.6831,$6.18M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/crtn
CARV,"Carver Bancorp, Inc.",3.2,$11.83M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/carv
CASM,"CAS Medical Systems, Inc.",1.2,$33.87M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/casm
CASC,"Cascadian Therapeutics, Inc.",3.83,$188.57M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/casc
CWST,"Casella Waste Systems, Inc.",16.87,$706.52M,1997,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/cwst
CASY,"Caseys General Stores, Inc.",104.27,$4.02B,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy
CASI,"CASI Pharmaceuticals, Inc.",1.12,$67.42M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/casi
CASS,"Cass Information Systems, Inc",65.85,$737.24M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cass
CATB,"Catabasis Pharmaceuticals, Inc.",1.33,$29.89M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/catb
CBIO,"Catalyst Biosciences, Inc. ",4.61,$19.64M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbio
CPRX,"Catalyst Pharmaceuticals, Inc.",2.82,$236.28M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cprx
CATS,"Catasys, Inc.",4.57,$72.55M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cats
CATY,Cathay General Bancorp,38.07,$3.04B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty
CATYW,Cathay General Bancorp,17.65,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catyw
CVCO,"Cavco Industries, Inc.",130.1,$1.17B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
CAVM,"Cavium, Inc.",62.54,$4.25B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CBFV,"CB Financial Services, Inc.",25.95,$106.08M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv
CBAK,"CBAK Energy Technology, Inc.",1.3,$25.63M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak
CBOE,"CBOE Holdings, Inc.",92.98,$10.42B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe
CDK,"CDK Global, Inc.",61.16,$8.88B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk
CDW,CDW Corporation,62.36,$9.8B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw
CECE,CECO Environmental Corp.,10.21,$353.27M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece
CELG,Celgene Corporation,132.56,$103.51B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg
CELGZ,Celgene Corporation,1.2166,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celgz
CLDX,"Celldex Therapeutics, Inc.",2.52,$315.26M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx
APOP,Cellect Biotechnology Ltd.,7.9,$42.69M,2016,n/a,n/a,http://www.nasdaq.com/symbol/apop
APOPW,Cellect Biotechnology Ltd.,2,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/apopw
CLRB,"Cellectar Biosciences, Inc.",1.56,$21M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb
CLRBW,"Cellectar Biosciences, Inc.",0.185,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw
CLRBZ,"Cellectar Biosciences, Inc.",0.62,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbz
CLLS,Cellectis S.A.,25.44,$898.92M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/clls
CBMG,"Cellular Biomedicine Group, Inc.",8.95,$127.9M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg
CLSN,Celsion Corporation,1.91,$7.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn
CELH,"Celsius Holdings, Inc.",4.1,$180.82M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/celh
CYAD,Celyad SA,38.85,$369.89M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyad
CEMP,"Cempra, Inc.",4.5,$236.27M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemp
CETX,Cemtrex Inc.,3.53,$34.9M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetx
CETXP,Cemtrex Inc.,7.66,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetxp
CETXW,Cemtrex Inc.,0.55,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetxw
CDEV,"Centennial Resource Development, Inc.",14.35,$3.59B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev
CSFL,"CenterState Banks, Inc.",25.21,$1.4B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl
CETV,Central European Media Enterprises Ltd.,4.05,$584.91M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv
CFBK,Central Federal Corporation,2.15,$35.02M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk
CENT,Central Garden & Pet Company,32.19,$1.66B,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent
CENTA,Central Garden & Pet Company,30.64,$1.58B,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa
CVCY,Central Valley Community Bancorp,22.09,$269.77M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy
CENX,Century Aluminum Company,15.91,$1.39B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
CNBKA,"Century Bancorp, Inc.",63.65,$354.4M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka
CNTY,"Century Casinos, Inc.",7.53,$184.19M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty
CRNT,Ceragon Networks Ltd.,2.58,$200.82M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERC,Cerecor Inc.,0.8351,$11.76M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc
CERCW,Cerecor Inc.,0.0661,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw
CERN,Cerner Corporation,65.74,$21.72B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CERU,Cerulean Pharma Inc.,0.73,$21.19M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ceru
CERS,Cerus Corporation,2.3,$241.17M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,3.22,$31.89M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",45.6,$982.82M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CFCO,CF Corporation,10.98,$922.32M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cfco
CFCOU,CF Corporation,12.154,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cfcou
CFCOW,CF Corporation,1.99,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/cfcow
CSBR,"Champions Oncology, Inc.",2.57,$28.21M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr
CYOU,Changyou.com Limited,38.45,$2.01B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
HOTR,"Chanticleer Holdings, Inc.",3.06,$7.28M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotr
CTHR,Charles & Colvard Ltd,0.93,$20.12M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",35.21,$1.08B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",332.43,$88.94B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
CHFN,Charter Financial Corp.,18.69,$281.71M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn
CHKP,Check Point Software Technologies Ltd.,111.44,$18.5B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,1.93,$32.77M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,0.6539,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw
CKPT,"Checkpoint Therapeutics, Inc.",9.75,$245.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ckpt
CEMI,"Chembio Diagnostics, Inc.",6.35,$78.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,49.01,$3.49B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",9.22,$444.16M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,40.98,$193.94M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,4.95,$64.11M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke
CHFS,"CHF Solutions, Inc.",0.8661,$7.7M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/chfs
CHMA,"Chiasma, Inc.",1.5,$36.54M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma
PLCE,"Children&#39;s Place, Inc. (The)",107.25,$1.89B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",5.43,$253.32M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",2.4,$5.73M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CALI,China Auto Logistics Inc.,2.0691,$8.35M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",4.84,$156.52M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
CBPO,"China Biologic Products, Inc.",103.39,$2.81B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",1.35,$4.29M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",3,$51.97M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr
CCRC,"China Customer Relations Centers, Inc.",13.65,$250.2M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc
JRJC,China Finance Online Co. Limited,1.59,$37.56M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc
HGSH,"China HGS Real Estate, Inc.",1.55,$69.83M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh
CNIT,"China Information Technology, Inc.",0.9,$36.21M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CJJD,"China Jo-Jo Drugstores, Inc.",1.76,$44.38M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd
CLDC,China Lending Corporation,4.51,$107.15M,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cldc
HTHT,"China Lodging Group, Limited",77.5,$5.39B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht
CHNR,"China Natural Resources, Inc.",2,$49.82M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,1.31,$10.89M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg
CNTF,China TechFaith Wireless Communication Technology Limited,2.89,$30.6M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,4.75,$235.18M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc
CCIH,ChinaCache International Holdings Ltd.,0.98,$24.5M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",1.17,$14.35M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,20.05,$858.74M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CDXC,ChromaDex Corporation,3.67,$169.16M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cdxc
CHSCL,CHS Inc,28.91,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl
CHSCM,CHS Inc,28.4,$539.6M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm
CHSCN,CHS Inc,29.49,$495.43M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn
CHSCO,CHS Inc,28.89,$327.01M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco
CHSCP,CHS Inc,30.6,$221.31M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",181.75,$2.81B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",23.35,$394.7M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",7.25,$121.84M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx
CMCT,CIM Commercial Trust Corporation,15.65,$1.32B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct
CMPR,Cimpress N.V,95.32,$2.97B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,72.66,$11.97B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,1.68,$20.81M,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,126.13,$13.28B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
